"","X","price","lot_size","waterfront","age","land_value","construction","air_cond","fuel","heat","sewer","living_area","fireplaces","bathrooms","rooms"
"1",1,132500,0.09,0,42,50000,0,0,3,4,2,906,1,1,5
"2",2,181115,0.92,0,0,22300,0,0,2,3,2,1953,0,2.5,6
"3",3,109000,0.19,0,133,7300,0,0,2,3,3,1944,1,1,8
"4",4,155000,0.41,0,13,18700,0,0,2,2,2,1944,1,1.5,5
"5",5,86060,0.11,0,0,15000,1,1,2,2,3,840,0,1,3
"6",6,120000,0.68,0,31,14000,0,0,2,2,2,1152,1,1,8
"7",7,153000,0.4,0,33,23300,0,0,4,3,2,2752,1,1.5,8
"8",8,170000,1.21,0,23,14600,0,0,4,2,2,1662,1,1.5,9
"9",9,90000,0.83,0,36,22200,0,0,3,4,2,1632,0,1.5,8
"10",10,122900,1.94,0,4,21200,0,0,2,2,1,1416,0,1.5,6
"11",11,325000,2.29,0,123,12600,0,0,4,2,2,2894,0,1,12
"12",12,120000,0.92,0,1,22300,0,0,2,2,2,1624,0,2,6
"13",13,85860,8.97,0,13,4800,0,0,3,4,2,704,0,1,4
"14",14,97000,0.11,0,153,3100,0,0,2,3,3,1383,0,2,5
"15",15,127000,0.14,0,9,300,0,0,4,2,2,1300,0,1.5,8
"16",16,89900,0,0,88,2500,0,0,2,3,3,936,0,1,4
"17",17,155000,0.13,0,9,300,0,0,4,2,2,1300,0,1.5,7
"18",18,253750,2,0,0,49800,0,1,2,2,1,2816,1,2.5,12
"19",19,60000,0.21,0,82,8500,0,0,4,3,2,924,0,1,6
"20",20,87500,0.88,0,17,19400,0,0,4,2,2,1092,0,1,6
"21",21,112000,1,0,12,8600,0,0,3,4,2,1056,0,1,7
"22",22,104900,0.43,0,21,5600,0,0,3,4,3,1600,0,1.5,4
"23",23,148635,0.32,0,1,6200,1,1,2,2,2,1576,0,2.5,7
"24",24,150000,0.03,0,24,5100,0,0,4,2,2,2080,0,2,6
"25",25,90400,0.36,0,16,5200,0,0,3,4,3,1600,0,1.5,4
"26",26,248800,4,0,28,5500,0,0,4,2,2,2224,0,3,10
"27",27,135000,1.83,0,126,6000,0,0,4,3,2,1656,0,1,6
"28",28,145000,3,0,26,4500,0,0,4,2,2,1170,0,1.5,5
"29",29,457000,0.43,1,53,2700,0,0,4,2,3,2461,1,2,10
"30",30,140000,0.44,0,56,19400,0,1,4,2,2,1544,1,1.5,7
"31",31,130000,1.24,0,51,24800,0,0,4,3,2,1220,2,1,4
"32",32,187000,0.46,0,3,15200,0,0,2,2,2,1858,1,2.5,7
"33",33,229000,0.87,0,9,41100,0,0,2,2,3,2219,1,2,8
"34",34,227000,1.8,0,201,25500,0,0,4,2,2,1876,0,2.5,5
"35",35,179900,0.46,0,1,15200,0,0,2,2,2,2026,1,2.5,6
"36",36,169900,0.91,0,19,20200,0,1,2,2,2,1671,1,3,8
"37",37,209900,0.46,0,1,15200,0,0,2,2,1,2060,1,2.5,7
"38",38,169900,0.59,0,0,17300,0,0,2,2,2,1884,1,2.5,9
"39",39,293000,7.24,0,43,36600,0,0,2,3,2,2022,2,3,6
"40",40,245900,0.19,0,0,20700,0,1,2,2,1,2394,1,2.5,7
"41",41,157000,0.46,0,45,20200,0,0,2,2,2,1390,1,1.5,6
"42",42,195000,0.41,0,32,27100,0,1,2,2,2,1954,0,2.5,8
"43",43,150000,0.78,0,54,24500,0,1,4,2,2,1554,1,1.5,5
"44",44,234900,0.89,0,9,41600,0,1,2,2,3,1976,0,2.5,6
"45",45,279550,1.34,0,0,44400,0,0,2,2,2,2479,1,2.5,10
"46",46,246500,1,0,0,17100,0,0,2,2,1,2714,1,2.5,9
"47",47,124000,1,0,98,15500,0,0,4,2,2,797,0,1,3
"48",48,138000,0.27,0,54,8900,0,0,2,3,2,1500,0,2.5,7
"49",49,290000,0.71,1,73,61000,0,0,4,2,2,1838,0,2,8
"50",50,108000,0.9,0,48,19000,0,0,2,2,2,1042,1,2,3
"51",51,134900,0.24,0,10,8000,0,1,2,2,3,1782,0,2.5,6
"52",52,64500,0.06,0,16,1600,0,0,2,2,3,1480,1,2.5,5
"53",53,142000,0.55,0,20,13800,0,0,2,2,2,1426,1,2,6
"54",54,125000,0.34,0,32,11100,0,0,2,2,2,1404,0,2,5
"55",55,88000,0.19,0,15,3400,0,1,2,3,3,1480,1,1.5,5
"56",56,135000,0.23,0,135,8100,0,0,2,3,3,1344,0,1,5
"57",57,90000,0.07,0,14,1800,0,1,2,2,3,1480,1,2.5,5
"58",58,90100,0.09,0,15,2400,0,0,2,3,3,1480,1,1.5,7
"59",59,126900,0.25,0,10,8400,0,0,2,2,3,1596,0,2.5,6
"60",60,175000,0.47,0,15,27200,0,0,3,4,2,1768,1,2,5
"61",61,158000,0.36,0,10,12100,0,1,2,2,3,1348,1,2,3
"62",62,92000,0.07,0,14,1800,0,0,2,2,3,1480,1,1.5,8
"63",63,82800,0.11,0,225,3900,0,0,2,2,3,1483,0,1,7
"64",64,140000,0.23,0,25,8300,0,1,2,2,3,1576,1,1.5,5
"65",65,171000,3.16,0,15,24100,0,0,3,4,2,1008,0,1,7
"66",66,200640,0.08,0,0,32000,1,0,2,2,3,2332,0,2.5,9
"67",67,139000,0.57,0,30,7500,0,0,4,2,2,1064,1,1,5
"68",68,225000,0.5,0,12,15300,0,1,2,2,3,2428,1,2.5,11
"69",69,182000,1,0,16,26600,0,0,3,4,2,1310,1,2,7
"70",70,208767,0.5,0,0,32000,1,1,2,2,3,1662,0,2,7
"71",71,186000,0.55,0,0,4400,1,0,2,2,3,2000,0,2.5,7
"72",72,93000,0.1,0,14,2600,0,0,2,2,3,1480,1,1.5,6
"73",73,257386,0.5,0,0,32000,1,1,2,2,3,2969,1,4,10
"74",74,161000,0.31,0,10,10400,0,1,2,2,3,1542,0,2.5,5
"75",75,92000,0.28,0,18,6300,0,0,4,2,2,1527,0,2,7
"76",76,211002,0.06,0,0,32000,1,0,2,2,3,2195,0,2.5,8
"77",77,115000,0.06,0,14,1600,0,0,2,2,3,1480,1,1.5,6
"78",78,113000,0.46,0,53,9200,0,1,4,3,2,1452,0,2,7
"79",79,216300,0.1,0,0,32000,1,0,2,2,3,2360,0,2.5,10
"80",80,145000,2.12,0,32,19000,0,0,4,2,2,1440,1,1,8
"81",81,114000,0.06,0,14,1600,0,0,3,2,3,1480,1,2.5,5
"82",82,139050,0.21,0,125,7300,0,0,2,2,3,1879,0,2.5,6
"83",83,104000,0.06,0,14,1600,0,0,2,2,3,1480,0,1.5,6
"84",84,169900,0.26,0,11,8700,0,0,2,2,3,1792,0,2.5,8
"85",85,177900,0.29,0,2,25000,0,0,2,2,2,1386,0,2.5,5
"86",86,133000,1.29,0,14,10300,0,1,3,2,2,1676,1,2,3
"87",87,185000,1,0,0,4000,0,0,2,2,2,768,0,2,9
"88",88,115000,0.88,0,16,10000,0,1,3,4,2,1560,1,1.5,8
"89",89,100000,0.52,0,91,5000,0,0,4,2,2,1000,0,1,6
"90",90,117000,0.07,0,15,18900,0,0,3,4,2,1676,1,1.5,9
"91",91,150000,0.32,0,11,19400,0,0,3,4,1,1656,0,1.5,6
"92",92,187500,0.92,0,11,20600,0,0,3,4,2,2300,1,1.5,7
"93",93,107000,0.46,0,25,18700,0,0,2,2,2,1712,1,1,6
"94",94,126900,0.46,0,26,18700,0,0,2,2,2,1350,0,1.5,5
"95",95,147000,0.11,0,15,18900,0,0,2,2,2,1676,1,2.5,6
"96",96,62000,0.4,0,103,10500,0,0,2,3,2,1317,0,1.5,7
"97",97,101000,0.87,0,30,8700,0,0,2,2,2,1056,1,2,8
"98",98,143500,0.59,0,13,19900,0,0,2,2,2,912,0,1,7
"99",99,113400,0.93,0,18,4500,0,0,3,4,2,1232,0,2,3
"100",100,76320,0.15,0,68,2000,0,0,2,2,3,1380,1,1,5
"101",101,110000,0.59,0,10,3100,0,1,2,2,2,936,0,1,6
"102",102,88000,0.33,0,49,3400,0,0,2,2,2,720,0,1,4
"103",103,108000,0.32,0,30,6500,0,0,4,3,2,1628,1,1.5,4
"104",104,114900,0.46,0,41,5000,0,0,2,2,2,1144,0,1.5,6
"105",105,146000,0.48,0,2,3000,0,0,2,2,2,1827,0,2.5,9
"106",106,225000,2.37,0,8,3300,0,0,4,3,2,1784,1,2,6
"107",107,138000,0.83,0,16,3700,0,1,2,2,2,1851,1,2.5,8
"108",108,218070,1,0,0,3500,1,0,2,3,2,2194,0,2.5,8
"109",109,25000,0.21,0,75,900,0,0,4,2,2,920,0,1,6
"110",110,112000,0.27,0,36,3800,0,0,2,3,3,1280,0,1,5
"111",111,112500,0.72,0,43,4600,0,0,3,4,2,1232,1,1,5
"112",112,97000,0.36,0,45,3600,0,0,2,3,2,1406,0,1.5,6
"113",113,121000,0.52,0,6,2500,0,0,2,2,2,1164,0,2,5
"114",114,65720,0.19,0,123,2100,0,0,2,3,3,1198,0,1,5
"115",115,225000,0.38,0,10,6600,0,1,2,2,2,2206,1,2.5,8
"116",116,192000,0.82,0,0,5000,1,1,2,2,2,1880,1,2.5,9
"117",117,158500,0.69,0,6,3400,0,0,4,2,2,1368,0,1.5,8
"118",118,247000,0.51,0,16,6000,0,1,2,2,2,1901,1,2.5,5
"119",119,193777,0.72,0,11,3200,0,0,2,2,2,1547,0,2,8
"120",120,136500,0.62,0,12,5400,0,0,2,2,2,896,0,2,5
"121",121,75000,1,0,45,8000,0,0,2,2,2,1008,0,1,7
"122",122,45000,0.52,0,75,3900,0,0,2,2,2,912,0,1,4
"123",123,243000,0.82,0,12,3700,0,0,2,2,2,2443,0,2.5,6
"124",124,90000,0.29,0,83,3900,0,0,2,2,3,900,0,1,7
"125",125,158000,0.52,0,0,4400,1,1,2,2,2,2098,0,2,7
"126",126,174000,0.64,0,9,3000,0,0,2,3,2,2115,1,2.5,7
"127",127,150000,0.52,0,12,4500,0,0,2,2,2,1344,1,2,7
"128",128,159650,1,0,3,5200,0,0,2,2,2,1106,0,1,8
"129",129,139062,0.69,0,33,6500,0,0,2,3,2,1440,2,2,6
"130",130,84950,0.13,0,0,15000,1,0,2,2,3,840,0,1,3
"131",131,102000,0.22,0,10,7300,0,0,2,2,3,1170,0,1,6
"132",132,175000,0.46,0,15,23400,0,0,4,2,2,1664,0,1,5
"133",133,78500,1,0,153,27300,0,0,4,2,2,3024,0,1,12
"134",134,232478,1,0,0,15900,0,0,2,2,1,2598,1,2.5,9
"135",135,93805,0.13,0,0,15000,1,0,2,2,3,840,0,1.5,7
"136",136,119900,1.03,0,63,41500,0,0,4,3,2,1701,0,1,10
"137",137,146000,1.17,0,33,41800,0,0,4,2,2,1456,1,1.5,6
"138",138,125000,0.34,0,44,19000,0,0,4,2,2,1224,0,1,4
"139",139,135000,0.38,0,48,21300,0,0,2,2,2,1411,1,1,5
"140",140,157500,1.96,0,29,39700,0,0,4,2,2,1608,1,1.5,5
"141",141,135000,3,0,178,44500,0,0,4,3,2,3020,0,2.5,12
"142",142,142900,0.33,0,32,22500,0,0,2,3,3,1898,1,1.5,7
"143",143,259900,0.46,0,1,36600,1,1,2,2,3,2544,1,2.5,9
"144",144,85000,0.29,0,16,22100,0,0,3,4,3,1038,0,1,7
"145",145,180377,0.35,0,1,37000,1,0,2,2,3,1820,1,2.5,6
"146",146,163500,0.28,0,21,28400,0,1,3,4,3,2202,1,2,10
"147",147,106500,0.52,0,53,20300,0,0,4,2,2,2387,0,1,6
"148",148,115000,0.11,0,16,20700,0,1,3,4,3,1368,1,1.5,3
"149",149,115000,0.14,0,16,21000,0,1,3,4,3,1480,1,2,5
"150",150,135000,0.14,0,15,19600,0,1,3,4,3,1348,1,1.5,5
"151",151,198900,0.47,0,7,25500,0,1,2,2,3,1889,1,2.5,8
"152",152,139000,0.14,0,16,19600,0,1,3,4,3,1343,1,1.5,6
"153",153,206000,0.51,0,15,39600,0,1,2,2,3,2011,1,2.5,7
"154",154,120000,0.21,0,15,28800,0,1,2,2,3,1180,1,1.5,3
"155",155,205980,0.14,0,1,45200,1,1,2,2,3,1983,1,2.5,5
"156",156,275000,0.55,0,14,72000,0,1,2,2,3,2253,1,2.5,7
"157",157,139000,0.07,0,12,24500,0,1,2,2,3,1604,0,1.5,4
"158",158,89900,0.49,0,83,11900,0,0,2,2,2,1196,0,1,6
"159",159,139900,0.07,0,13,24500,0,1,2,2,3,1602,0,2.5,7
"160",160,172750,0.36,0,1,37100,1,0,2,2,3,1747,0,2.5,5
"161",161,136000,0.5,0,37,19800,0,0,4,3,2,1092,0,1,5
"162",162,270000,0.48,0,10,37800,0,1,2,2,3,2410,1,2.5,11
"163",163,174000,0.29,0,14,31100,0,1,2,2,3,1933,1,2.5,6
"164",164,379000,0.68,0,9,57200,0,1,2,2,3,3080,1,2.5,12
"165",165,382500,4.08,0,13,75500,0,1,4,2,2,4534,2,2.5,12
"166",166,144900,0.1,0,14,26000,0,1,2,2,3,1677,1,2.5,5
"167",167,349900,0.62,0,7,57800,0,1,2,2,3,2900,1,2.5,11
"168",168,133000,0.07,0,16,20300,0,1,3,4,3,1392,1,1.5,5
"169",169,115000,0.16,0,15,22400,0,0,2,2,3,1058,1,1.5,7
"170",170,211950,0.36,0,1,29200,1,1,2,2,3,2342,1,2.5,8
"171",171,227812,0.01,0,0,37200,1,1,2,2,3,2206,1,2.5,10
"172",172,164400,0.34,0,1,36200,1,1,2,2,3,1516,1,2,5
"173",173,340000,0.75,0,12,82500,0,1,2,2,3,2836,1,2.5,10
"174",174,139900,0.29,0,15,35200,0,1,2,2,3,1256,0,1.5,7
"175",175,279900,0.47,0,6,20000,0,1,2,2,3,2340,1,3.5,10
"176",176,225000,0.32,0,0,53900,1,1,2,2,3,2129,1,2.5,9
"177",177,144500,0.12,0,15,16800,0,1,2,2,3,1343,1,2.5,4
"178",178,362710,1,0,0,24300,1,1,2,2,2,2963,1,2.5,10
"179",179,247000,0.46,0,13,36600,0,1,2,2,3,2114,1,3.5,8
"180",180,120000,0.18,0,16,21400,0,1,3,4,3,1144,1,1,7
"181",181,136000,0.55,0,33,14900,0,0,4,2,2,988,1,1,7
"182",182,228500,0.46,0,9,45800,0,0,2,2,3,1475,0,2,4
"183",183,162800,0.15,0,10,28500,0,0,2,2,3,1247,0,1.5,7
"184",184,230000,0.93,0,48,23500,0,0,2,3,2,1912,1,2,10
"185",185,115800,0.46,0,23,19700,0,0,4,2,2,1440,0,1.5,5
"186",186,175000,0.26,0,16,30100,0,1,2,2,3,1596,1,2,6
"187",187,263008,0.63,0,0,24400,1,1,2,2,3,2665,1,2.5,11
"188",188,146000,0.5,0,35,28000,0,0,2,3,2,1984,0,1.5,8
"189",189,204900,0.03,0,10,35800,0,1,2,2,3,1616,0,2,6
"190",190,265000,0.17,0,9,40500,0,0,2,2,3,1917,1,2.5,5
"191",191,167500,0.64,0,37,16400,0,0,4,3,2,2592,1,1.5,9
"192",192,205000,0.47,0,6,25500,0,0,2,2,3,1845,1,2.5,9
"193",193,170000,0.92,0,53,29000,0,1,4,2,2,1360,0,1,9
"194",194,176000,0.41,0,35,26200,0,1,2,2,3,1664,1,1.5,6
"195",195,132000,0.16,0,15,22400,0,1,2,2,3,1098,1,1.5,3
"196",196,115500,0.01,0,17,9900,0,0,3,4,3,1214,0,1.5,4
"197",197,150000,0.29,0,93,9200,0,0,3,4,2,1046,0,1,6
"198",198,120000,0.36,0,103,32200,0,0,4,2,2,1144,0,1,8
"199",199,125000,0.28,0,16,22000,0,1,2,2,3,1140,1,2,6
"200",200,150000,0.15,0,14,21000,0,0,2,2,3,1232,1,1.5,5
"201",201,362360,0.59,0,0,153800,1,1,2,2,3,3020,1,2.5,9
"202",202,133500,0.36,0,19,27000,0,0,2,2,3,1508,1,2,6
"203",203,91000,0.16,0,19,15700,0,0,3,4,3,912,1,1.5,5
"204",204,104000,0.34,0,18,27000,0,0,3,4,3,1508,0,1.5,4
"205",205,148000,0.33,0,17,27000,0,0,2,2,3,1561,1,1.5,6
"206",206,182000,0.56,0,30,26400,0,0,2,3,3,2625,1,2.5,8
"207",207,152500,0.48,0,30,19600,0,0,2,3,3,936,1,1,7
"208",208,97000,0.16,0,19,15700,0,0,3,4,3,912,0,1.5,3
"209",209,113000,0.17,0,16,15100,0,0,3,4,3,1492,0,2.5,8
"210",210,172000,0.46,0,30,26300,0,0,2,3,3,1599,1,2.5,5
"211",211,179900,0.81,0,25,25000,0,0,3,4,2,2304,1,2.5,9
"212",212,84000,0.15,0,19,15700,0,0,3,4,3,912,0,1.5,7
"213",213,117900,0.15,0,17,15100,0,1,2,2,3,1385,1,1.5,7
"214",214,177000,0.32,0,17,27000,0,0,3,4,3,1561,0,1.5,8
"215",215,107500,0.16,0,20,15700,0,0,2,3,3,884,0,2,3
"216",216,92500,0.15,0,18,15700,0,0,3,4,3,912,0,2,4
"217",217,102900,0.15,0,17,15700,0,0,2,4,3,912,0,1.5,3
"218",218,134800,0.48,0,73,20500,0,0,4,2,2,1384,0,2,5
"219",219,150000,0.77,0,7,30000,0,0,2,2,3,1334,0,1.5,4
"220",220,165000,0.42,0,10,26200,0,1,2,2,2,1433,1,2,5
"221",221,120000,0.17,0,16,15100,0,0,3,4,3,1492,1,2.5,6
"222",222,177500,0.32,0,16,27000,0,1,2,2,3,1561,1,1.5,9
"223",223,300000,0.09,1,11,32000,0,0,3,4,3,936,0,1,3
"224",224,123500,0.16,0,16,15100,0,0,3,4,3,1492,1,2.5,8
"225",225,141000,0.16,0,18,15100,0,0,3,4,3,1853,0,2.5,7
"226",226,105400,0.15,0,15,15100,0,0,3,4,3,1240,0,1.5,7
"227",227,100600,0.17,0,19,15800,0,0,3,4,3,912,0,1.5,6
"228",228,108900,0.17,0,19,15800,0,0,2,2,3,912,0,1.5,3
"229",229,105500,0.16,0,19,15700,0,0,2,3,3,912,0,1.5,6
"230",230,109900,0.16,0,19,15100,0,0,2,3,3,1184,0,1.5,8
"231",231,172700,0.34,0,18,27000,0,0,3,4,3,1638,1,2,6
"232",232,166500,0.31,0,16,27000,0,0,3,4,3,1508,1,2,6
"233",233,105000,0.4,0,50,18000,0,0,3,4,3,672,0,1,5
"234",234,490000,0.34,1,18,79700,0,0,4,2,3,1346,1,2,6
"235",235,120000,0.16,0,18,15100,0,0,3,4,3,1184,0,2,5
"236",236,107500,0.15,0,16,15700,0,0,2,2,3,912,0,1.5,4
"237",237,116600,0.15,0,18,15700,0,0,3,4,3,912,1,1.5,5
"238",238,65000,0.16,0,19,15700,0,0,2,2,3,988,0,2,4
"239",239,118000,0.16,0,19,15100,0,0,2,2,3,1184,0,2,6
"240",240,115900,0.15,0,16,15100,0,0,3,4,3,1385,0,1.5,4
"241",241,100000,0.15,0,18,15700,0,0,2,3,3,912,0,1.5,3
"242",242,171000,0.37,0,18,27000,0,1,2,2,3,1548,1,2,5
"243",243,188000,0.31,0,17,27000,0,0,3,4,3,1561,0,1.5,9
"244",244,140000,1,0,24,21000,0,1,2,2,2,1008,0,1,3
"245",245,124500,0.15,0,17,15200,0,0,3,4,3,1385,0,1.5,4
"246",246,107200,0.16,0,19,15700,0,0,2,2,3,908,0,1,6
"247",247,107500,0.24,0,138,1400,0,0,4,3,3,2246,0,1.5,9
"248",248,180000,2.06,0,16,5900,0,0,2,2,2,1820,1,2.5,5
"249",249,214325,0.42,0,0,13000,1,1,2,2,3,2554,1,2.5,9
"250",250,128850,0.92,0,16,5500,0,0,3,4,2,824,0,1.5,5
"251",251,208700,0.4,0,0,15000,0,0,2,2,3,2458,1,2.5,9
"252",252,139900,0.36,0,22,10500,0,0,3,4,3,1324,0,1,4
"253",253,350000,5.84,0,12,20000,0,1,2,2,3,2916,1,2.5,9
"254",254,108000,0.16,0,19,15100,0,0,3,4,3,1032,0,1.5,4
"255",255,115500,0.15,0,16,15700,0,0,3,4,3,912,1,1.5,4
"256",256,135000,0.98,0,35,19600,0,0,3,4,2,1320,0,1,3
"257",257,135000,0.33,0,17,27000,0,0,2,2,3,1508,1,1.5,8
"258",258,107400,0.16,0,16,15700,0,0,3,4,3,912,1,1.5,7
"259",259,233000,0.09,0,12,31200,0,1,2,2,2,2040,1,2.5,7
"260",260,105000,0.16,0,17,15700,0,0,3,4,3,912,1,1.5,5
"261",261,335000,3,0,10,53600,0,1,4,2,3,1776,0,2,6
"262",262,139000,0.58,0,25,25000,0,0,3,4,3,1304,0,2,8
"263",263,209500,0.42,0,10,26200,0,1,2,2,2,1836,1,2.5,8
"264",264,101000,0.17,0,18,15800,0,0,3,4,3,912,0,2,3
"265",265,77500,0.16,0,19,15700,0,0,3,4,3,912,0,1.5,6
"266",266,150500,0.31,0,16,27000,0,0,3,4,3,1527,1,2,7
"267",267,167000,0.99,0,17,5700,0,0,3,4,2,1454,0,1.5,7
"268",268,114000,0.26,0,26,4600,0,0,4,3,3,1700,1,1.5,4
"269",269,160000,0.45,0,27,7000,0,0,3,4,3,1680,0,1,9
"270",270,85000,0.49,0,0,13000,0,1,2,2,3,2401,1,2.5,10
"271",271,143000,0.35,0,21,11000,0,0,3,4,3,1176,0,1,7
"272",272,126000,0.4,0,24,9800,0,0,3,4,3,1344,1,1.5,7
"273",273,140000,0.48,0,23,10400,0,0,3,4,3,1344,0,1.5,8
"274",274,140000,0.35,0,9,13000,0,0,2,3,2,1714,0,2.5,8
"275",275,205000,0.25,0,20,29000,0,0,2,2,3,1992,1,3,9
"276",276,79900,0.12,0,19,18200,0,1,2,2,3,924,0,1,7
"277",277,139000,0.09,0,24,17600,0,1,2,2,3,1290,1,1.5,3
"278",278,190000,0.46,0,36,27400,0,0,2,3,3,2521,1,2.5,10
"279",279,151500,0.71,0,58,22700,0,0,4,3,3,1377,1,1.5,7
"280",280,97500,0.06,0,19,16400,0,1,2,2,3,1237,1,1.5,6
"281",281,194500,0.61,0,41,32300,0,1,2,3,3,2310,1,2.5,7
"282",282,195160,0.32,0,0,35000,0,0,2,2,3,1863,1,2.5,9
"283",283,152500,0.37,0,26,37500,0,1,2,2,3,1693,1,1.5,8
"284",284,159500,0.29,0,26,31400,0,1,2,2,3,1684,1,2.5,4
"285",285,185000,0.95,0,16,40900,0,1,3,4,3,1585,1,1.5,4
"286",286,240000,0.67,0,8,72400,0,1,2,2,3,2290,1,3,9
"287",287,187900,0.4,0,32,30000,0,1,2,2,3,2464,1,2.5,9
"288",288,262000,0.29,0,5,29000,0,1,2,2,3,2549,1,2.5,12
"289",289,212500,0.35,0,6,36500,0,1,2,2,3,2316,1,2.5,7
"290",290,220000,0.37,0,18,43000,0,1,2,2,2,2600,1,2.5,8
"291",291,245000,0.53,0,15,65800,0,1,2,2,3,2677,1,2.5,10
"292",292,120000,0.06,0,19,16400,0,1,3,4,3,1479,0,1.5,4
"293",293,102500,0.15,0,16,18500,0,1,3,4,3,1138,0,1,7
"294",294,136000,0.27,0,24,18900,0,0,2,3,3,1576,0,2.5,4
"295",295,212500,0.43,0,10,52200,0,1,2,2,3,2084,1,2.5,9
