"","X","price","lot_size","waterfront","age","land_value","construction","air_cond","fuel","heat","sewer","living_area","fireplaces","bathrooms","rooms"
"296",296,205900,0.06,0,26,35900,0,1,2,2,3,1726,1,2,8
"297",297,259900,1,0,2,49900,0,1,2,2,2,1851,2,2,4
"298",298,191500,0.46,0,30,27400,0,0,2,2,3,2310,1,2.5,12
"299",299,272500,0.03,0,0,56800,0,0,2,2,3,2930,1,2.5,12
"300",300,191500,0.88,0,33,35900,0,0,2,3,3,2576,1,2.5,10
"301",301,158000,0.55,0,36,30500,0,0,2,3,3,1664,1,2,8
"302",302,195000,1,0,24,46000,0,0,3,4,2,1237,0,1.5,3
"303",303,187500,0.43,0,29,31400,0,1,2,2,3,2662,1,2.5,9
"304",304,160000,0.45,0,35,32300,0,0,2,2,3,1575,1,1.5,7
"305",305,137500,0.1,0,12,18000,0,1,2,2,3,1566,0,1.5,7
"306",306,109900,0.09,0,16,17600,0,1,2,2,3,1326,1,1.5,4
"307",307,85000,0.09,0,18,17600,0,0,2,3,3,1480,0,1.5,8
"308",308,184350,0.59,0,0,38400,0,0,2,2,3,2161,1,2.5,11
"309",309,134500,0.16,0,10,18600,0,1,2,2,3,1352,1,1.5,3
"310",310,154900,0.51,0,33,34600,0,1,2,2,3,1648,0,1.5,8
"311",311,255000,0.46,0,25,60500,0,1,2,2,3,2936,1,3.5,12
"312",312,238600,0.46,0,1,36400,0,0,2,2,3,2404,1,2.5,10
"313",313,106000,0.42,0,36,30900,0,0,2,2,3,1738,0,1.5,9
"314",314,625000,0.45,0,14,119500,0,1,2,2,3,5228,4,4,12
"315",315,195000,0.55,0,34,30500,0,0,2,3,3,2576,1,2.5,12
"316",316,168500,0.44,0,34,31800,0,0,2,2,3,1586,1,1.5,7
"317",317,87000,0.06,0,19,16400,0,0,3,4,3,1480,0,1.5,5
"318",318,215000,0.5,0,15,37000,0,0,2,2,3,1917,1,2.5,7
"319",319,197500,0.3,0,30,24500,0,1,2,2,3,1938,1,1.5,9
"320",320,215000,0.33,0,3,11600,0,1,2,2,3,2110,1,2.5,8
"321",321,118000,0.14,0,19,18400,0,0,2,2,3,1479,0,1.5,5
"322",322,187900,0.69,0,34,34700,0,0,2,3,3,2576,1,2.5,9
"323",323,275000,0.38,0,18,60800,0,1,2,2,3,2445,2,2.5,9
"324",324,249900,0.74,0,14,73800,0,1,2,2,3,2185,1,2.5,7
"325",325,270000,0.38,0,18,82800,0,1,3,2,2,2078,1,2.5,8
"326",326,157900,0.38,0,37,29100,0,0,2,2,3,1674,1,1.5,5
"327",327,120000,0.29,0,19,20300,0,0,3,4,3,1228,0,1.5,9
"328",328,126400,0.28,0,22,19500,0,1,3,4,3,1375,1,1.5,7
"329",329,220000,0.54,0,16,30200,0,1,2,2,3,1650,1,2,5
"330",330,180000,0.26,0,31,21900,0,1,2,2,3,1718,1,1.5,9
"331",331,203600,0.59,0,33,31700,0,0,2,3,3,2576,1,2.5,9
"332",332,249900,0.37,0,4,37500,0,0,2,2,3,2280,1,2.5,7
"333",333,193000,0.4,0,18,25000,0,0,2,3,3,2088,1,2.5,10
"334",334,215000,0.5,0,15,37000,0,0,2,2,3,1917,1,2.5,9
"335",335,201000,0.54,0,29,30200,0,0,2,3,3,3140,1,3.5,10
"336",336,65000,0.22,0,73,6900,0,0,2,2,2,1029,0,1,4
"337",337,195000,0.35,0,36,39800,0,1,2,2,3,1896,1,2.5,7
"338",338,215900,0.52,0,38,29600,0,0,2,3,3,2310,1,2.5,9
"339",339,92000,0.31,0,17,19600,0,0,3,4,3,924,1,1,6
"340",340,155000,0.38,0,25,38000,0,1,2,4,3,2080,1,2.5,9
"341",341,123500,0.08,0,22,17200,0,1,3,4,3,1237,1,1.5,4
"342",342,110400,0.1,0,29,18000,0,1,2,2,3,1287,0,1.5,5
"343",343,198900,0.44,0,18,33200,0,0,2,3,3,1847,1,2.5,7
"344",344,150000,0.26,0,49,41900,0,1,2,2,2,1064,0,1,8
"345",345,104000,0.07,0,18,16800,0,1,2,2,3,1480,1,1.5,4
"346",346,245000,0.48,0,23,48500,0,1,2,2,3,2462,2,3.5,8
"347",347,180000,0.41,0,17,25400,0,0,2,3,3,2228,1,2.5,7
"348",348,154300,0.42,0,61,14700,0,0,2,3,2,1260,0,1,8
"349",349,170000,0.45,0,30,30000,0,0,2,2,3,1559,1,2.5,5
"350",350,219000,0.6,0,25,71000,0,1,2,2,3,1980,1,2.5,10
"351",351,295000,0.95,0,9,78000,0,0,2,2,2,2380,1,2.5,6
"352",352,181500,0.56,0,27,30800,0,0,2,3,3,1887,1,2.5,8
"353",353,260000,1.25,0,133,43500,0,0,2,3,2,2185,1,1.5,11
"354",354,239900,0.7,0,15,69400,0,1,3,4,3,2488,1,2.5,7
"355",355,135500,0.67,0,56,21100,0,0,2,2,2,1152,0,2,3
"356",356,191500,0.66,0,15,32100,0,0,2,3,3,2025,1,2.5,9
"357",357,225000,0.62,0,37,32600,0,0,2,3,3,2521,1,2.5,12
"358",358,98500,0.08,0,18,17200,0,1,2,2,3,1480,0,1.5,4
"359",359,110500,0.08,0,17,17200,0,1,2,2,3,1480,1,1.5,5
"360",360,290000,0.51,0,7,39100,0,0,2,2,3,2362,1,2.5,8
"361",361,184400,0.28,0,31,23200,0,1,2,2,3,1910,1,1.5,7
"362",362,178500,1,0,12,32000,0,0,4,2,2,1952,2,2,9
"363",363,415000,0.58,0,9,86400,0,1,2,2,3,3358,1,3.5,12
"364",364,244900,0.43,0,26,39000,0,1,2,2,3,2090,1,2.5,7
"365",365,150000,0.55,0,35,33000,0,1,2,2,3,1965,1,2,11
"366",366,168000,0.49,0,33,34100,0,1,2,2,3,2110,1,1.5,9
"367",367,159000,0.39,0,43,29600,0,0,2,2,2,1456,0,2.5,9
"368",368,127000,0.06,0,18,16400,0,0,2,2,3,1479,0,1.5,7
"369",369,175000,0.46,0,29,27400,0,0,2,3,3,1874,1,2.5,7
"370",370,255250,0.5,0,0,17500,0,0,2,2,3,2099,1,2.5,8
"371",371,175000,0.6,0,33,32000,0,0,2,3,3,1872,1,2.5,8
"372",372,235000,0.41,0,17,44300,0,1,3,4,3,2388,1,2.5,11
"373",373,324000,0.53,0,18,65800,0,1,2,2,3,2812,1,2.5,12
"374",374,173000,0.21,0,11,19100,0,0,2,2,3,1064,1,2,4
"375",375,116900,0.06,0,20,16400,0,1,2,2,3,1375,0,1.5,7
"376",376,105900,0.09,0,19,17600,0,0,3,2,3,1480,0,1.5,5
"377",377,112000,0.13,0,25,18300,0,1,2,2,3,1260,1,1.5,5
"378",378,235000,0.72,0,15,40300,0,1,2,2,3,2086,1,2.5,5
"379",379,235000,1,0,9,43900,0,0,4,2,2,2588,1,2.5,12
"380",380,130000,0.18,0,18,18800,0,0,3,4,3,1480,0,1.5,4
"381",381,235000,0.74,0,10,35700,0,0,2,2,3,1752,1,2.5,7
"382",382,191900,0.48,0,32,28200,0,0,2,3,3,2660,1,2.5,11
"383",383,284900,0.58,0,20,69500,0,1,2,2,3,2417,1,2.5,9
"384",384,335000,0.01,0,21,79100,0,1,2,2,3,2793,1,2.5,7
"385",385,140000,1,0,78,21200,0,0,4,3,2,1152,0,1,6
"386",386,191000,0.41,0,29,25400,0,0,2,3,3,2344,1,2.5,9
"387",387,153000,0.51,0,33,34600,0,1,2,2,3,1926,1,1.5,6
"388",388,196000,0.55,0,35,34800,0,1,2,2,3,2208,1,2.5,9
"389",389,248000,0.46,0,16,60500,0,1,2,2,3,2208,1,2.5,7
"390",390,240000,0.6,0,35,32000,0,0,2,3,3,2708,2,2.5,12
"391",391,132000,0.19,0,18,18900,0,1,2,2,3,1142,0,1.5,6
"392",392,199000,1.42,0,32,48300,0,1,2,2,2,2529,1,2,7
"393",393,217000,0.69,0,20,35500,0,0,3,4,2,1797,0,2,9
"394",394,167000,0.51,0,31,34600,0,0,2,2,3,1611,1,1.5,4
"395",395,245000,0.29,0,13,31400,0,1,2,2,3,2576,1,2.5,10
"396",396,358000,0.06,0,10,79600,0,1,2,2,2,2653,0,2.5,10
"397",397,412500,0.6,0,13,88000,0,1,2,3,3,3896,2,4.5,12
"398",398,208000,0.53,0,16,37500,0,1,2,2,3,1585,1,1,6
"399",399,270000,0.38,0,10,38000,0,1,2,2,3,2774,1,2.5,8
"400",400,100000,0.74,0,54,28300,0,0,2,2,2,1283,1,1,3
"401",401,130000,0.56,0,29,34800,0,0,4,2,2,1136,0,1,6
"402",402,182500,0.71,0,32,35100,0,0,2,3,3,1896,1,2.5,6
"403",403,139000,2.84,0,55,60200,0,0,2,3,2,1536,1,1,7
"404",404,104000,0.09,0,19,17600,0,0,3,4,3,1480,1,1.5,5
"405",405,221000,0.52,0,14,37300,0,1,2,2,3,2096,1,2.5,8
"406",406,260000,1,0,8,40200,0,1,2,2,3,2324,0,2.5,7
"407",407,182500,0.5,0,29,29000,0,0,2,3,3,2079,1,2.5,7
"408",408,196000,0.43,0,33,31400,0,1,2,2,3,1911,1,1.5,10
"409",409,132000,0.09,0,18,17600,0,1,2,2,3,1480,1,1.5,7
"410",410,224900,0.11,0,25,32900,0,0,2,3,2,2208,1,2.5,10
"411",411,199900,0.24,0,9,28000,0,0,2,2,3,1462,0,2.5,7
"412",412,165835,0.39,0,38,29600,0,0,2,2,2,1794,1,1.5,10
"413",413,189000,0.8,0,38,35500,0,0,2,3,3,1886,1,2.5,9
"414",414,89900,0.19,0,19,13300,0,0,3,4,3,1080,0,1.5,7
"415",415,235000,0.59,0,34,31700,0,1,2,3,3,2576,1,3,11
"416",416,166000,0.48,0,26,31200,0,0,2,3,3,1508,1,1.5,5
"417",417,153100,0.46,0,35,32700,0,0,2,2,3,1672,1,1,5
"418",418,162000,0.4,0,35,30000,0,1,2,2,3,1739,1,1.5,9
"419",419,224000,0.52,0,40,29600,0,0,2,3,2,3074,1,2.5,12
"420",420,222400,0.86,0,3,35600,0,0,2,2,2,1976,1,2.5,8
"421",421,199000,0.46,0,37,27400,0,0,2,3,3,2302,1,2.5,8
"422",422,166000,0.95,0,13,9500,0,1,2,2,2,1480,1,2,4
"423",423,149900,0.63,0,11,17900,0,0,2,3,3,960,0,2,5
"424",424,152000,0.42,0,16,17400,0,0,3,4,2,1582,0,1.5,8
"425",425,162500,0.34,0,154,11900,0,0,4,2,3,1600,0,1,7
"426",426,274900,0.5,0,5,4000,0,0,2,2,3,2320,0,2.5,9
"427",427,100000,0.2,0,14,7200,0,0,2,3,3,1034,0,1.5,5
"428",428,215000,2.96,0,19,11000,0,0,3,4,2,1488,0,1.5,8
"429",429,124000,1,0,17,3500,0,0,3,4,2,1056,0,1,8
"430",430,125000,1,0,128,16200,0,0,4,2,2,864,0,1,6
"431",431,138000,1,0,19,17600,0,0,3,4,2,1552,1,2,4
"432",432,225000,0.52,0,11,18200,0,0,2,2,3,1816,1,1.5,6
"433",433,180000,0.48,0,20,12500,0,1,2,2,2,1530,1,2,6
"434",434,189900,0.33,0,14,11900,0,1,2,2,3,1756,0,2,8
"435",435,435000,1,0,25,25000,0,0,2,3,2,4211,2,3.5,12
"436",436,120000,2.6,0,10,20200,0,0,4,2,2,2206,1,2.5,7
"437",437,163000,0.15,1,64,36000,0,0,4,2,3,1092,0,1,6
"438",438,131000,2.8,0,114,28300,0,0,4,3,2,1594,0,1,10
"439",439,126500,0.08,0,15,2100,0,0,2,2,3,1480,1,2.5,8
"440",440,122500,0.14,0,15,3200,0,1,2,2,3,1480,1,1.5,4
"441",441,425000,0.46,0,88,19700,0,1,2,2,2,3003,1,3.5,12
"442",442,225000,0.63,0,54,9500,0,0,4,3,2,2164,0,1.5,7
"443",443,209000,3.8,0,19,14400,0,0,4,3,2,1519,0,1,3
"444",444,189100,0.46,0,15,15700,0,1,4,2,2,1604,1,2.5,4
"445",445,285000,0.98,0,25,15900,0,0,3,4,2,1400,1,2,5
"446",446,266600,1,0,12,20300,0,0,2,2,2,1752,0,1,7
"447",447,80000,1,0,32,20300,0,0,3,4,2,880,0,1.5,6
"448",448,225000,6.07,0,14,25700,0,0,4,2,2,1240,0,2,5
"449",449,159000,0.03,0,17,18800,0,0,2,2,2,1514,1,1.5,8
"450",450,119900,0.18,0,2,15000,0,1,2,2,3,840,0,1,6
"451",451,130900,0.11,0,1,15000,0,1,2,2,3,840,0,1,3
"452",452,194670,0.28,0,124,7400,0,0,2,2,3,2592,0,1.5,12
"453",453,72000,0.18,0,121,7300,0,0,2,2,3,1010,0,1,7
"454",454,144700,0.16,0,2,15000,0,0,2,2,3,1380,0,1.5,6
"455",455,139500,0.15,0,3,15000,0,1,2,2,3,1366,0,1.5,8
"456",456,319000,0.5,1,5,40200,0,1,2,2,3,1681,1,2.5,4
"457",457,348000,3.68,0,14,27200,0,0,4,3,2,2037,1,2,9
"458",458,189900,0.98,0,16,11200,0,0,4,3,2,2570,0,1.5,10
"459",459,20000,0.52,0,59,8000,0,0,4,2,2,936,0,1,4
"460",460,60000,0.01,0,13,1200,0,0,2,3,3,960,0,1.5,7
"461",461,179500,0.91,0,11,3200,0,0,4,2,2,1352,1,1.5,5
"462",462,133300,0.34,0,118,6200,0,0,2,3,3,1060,0,1,8
"463",463,153000,2.06,0,6,40100,0,0,4,2,2,1508,0,2,5
"464",464,111900,0.35,0,54,19600,0,0,4,2,2,1272,1,1.5,9
"465",465,187000,0.47,0,18,18800,0,0,4,3,2,2389,0,3,11
"466",466,158500,0.7,0,17,28800,0,0,2,2,2,1210,1,1,4
"467",467,153000,0.39,0,52,21800,0,0,4,2,2,1230,1,1,6
"468",468,190000,0.52,0,47,28100,0,0,4,2,2,1832,1,2,8
"469",469,242000,1.27,0,27,34200,0,0,4,3,2,1854,1,1.5,8
"470",470,234500,2,0,164,40000,0,0,4,2,2,2268,0,2.5,10
"471",471,225000,0.68,0,29,28700,0,0,4,2,2,1807,1,1.5,8
"472",472,165000,0.38,0,48,21300,0,0,2,2,2,1272,1,1.5,5
"473",473,129900,0.28,0,12,4800,0,1,2,2,3,1560,1,1,8
"474",474,315000,0.07,0,15,200,0,1,2,2,3,1863,1,3.5,7
"475",475,129900,0.24,1,64,1400,0,0,4,2,2,1120,0,1,3
"476",476,257000,0.26,0,15,700,0,1,2,2,3,1832,1,2.5,8
"477",477,324000,3.64,0,0,7400,0,1,4,2,3,2092,1,2.5,8
"478",478,520000,0.41,0,13,3100,0,0,4,2,3,2702,1,2.5,11
"479",479,150414,0.46,0,32,5800,0,0,4,3,3,1040,1,1.5,5
"480",480,290000,0.15,0,13,400,0,1,2,2,3,1758,1,2.5,6
"481",481,112000,0.16,0,116,6800,0,0,4,2,3,2326,0,2,7
"482",482,185000,1,0,13,13700,0,0,3,4,2,2340,0,1.5,8
"483",483,295000,2.61,0,1,15700,0,0,4,3,2,2058,1,2.5,9
"484",484,290000,1,1,33,21700,0,0,4,2,2,944,1,1,4
"485",485,79900,0.19,0,44,9100,0,0,3,4,2,640,0,1,6
"486",486,256000,0.83,0,6,14700,0,1,2,2,2,2353,1,2.5,8
"487",487,245000,1,0,7,17800,0,0,2,3,2,2038,1,2.5,7
"488",488,140000,0.42,0,32,18500,0,1,2,2,2,1469,0,1.5,9
"489",489,272000,0.87,0,10,41100,0,0,2,2,3,2219,1,2,10
"490",490,164000,0.68,0,16,19900,0,0,2,2,3,1774,0,2,7
"491",491,182500,0.38,0,51,14600,0,1,4,2,2,1296,1,2,9
"492",492,219900,1.1,0,124,20100,0,0,4,3,2,2289,1,1.5,9
"493",493,325000,0.8,0,134,18100,0,0,2,2,2,2463,2,2.5,12
"494",494,352000,0.95,0,2,49200,0,1,4,2,2,3126,0,2.5,12
"495",495,315000,4.1,0,15,26600,0,0,4,3,2,2550,0,2.5,7
"496",496,154000,0.34,0,49,13100,0,1,4,2,2,1182,0,1,6
"497",497,199000,0.09,0,48,15800,0,1,4,2,2,1890,1,2,7
"498",498,202000,1,0,12,500,0,0,4,2,1,1944,1,2.5,7
"499",499,292000,0.57,0,6,15000,0,0,2,2,3,2815,1,2.5,10
"500",500,116600,1,0,11,34900,0,0,3,4,2,1040,1,2,7
"501",501,155000,0.48,0,25,14400,0,0,4,2,2,1638,0,2,5
"502",502,215000,0.14,0,13,21100,0,0,2,2,2,2206,1,2.5,9
"503",503,373490,0.19,0,0,74800,1,0,2,2,3,3170,1,3.5,12
"504",504,259142,0.5,0,0,74800,1,1,2,2,3,2328,1,2.5,10
"505",505,293565,0.35,0,0,74800,1,0,2,2,3,2737,1,3,8
"506",506,285558,0.21,0,0,32000,1,0,2,2,3,2879,0,3,8
"507",507,273960,3.47,0,1,20300,1,1,2,2,2,2158,1,2,10
"508",508,185000,0.55,0,11,19300,0,1,2,2,3,1336,1,2,7
"509",509,190000,0.53,0,4,4200,0,0,2,2,3,1594,0,2.5,6
"510",510,171000,0.54,0,11,18900,0,1,2,2,3,1603,0,1.5,4
"511",511,208000,0.54,0,11,18900,0,1,2,2,3,2190,0,2.5,11
"512",512,168000,0.32,0,10,10700,0,1,2,2,3,1478,1,2.5,5
"513",513,165000,0.25,0,10,8400,0,1,2,2,3,1348,0,2,7
"514",514,138500,0.32,0,36,8000,0,1,2,2,2,1558,1,1,6
"515",515,179900,0.5,0,13,18300,0,0,2,2,3,1574,1,1.5,7
"516",516,180000,0.04,0,13,16500,0,1,2,2,3,1612,0,2,7
"517",517,112000,0.21,0,129,7300,0,0,2,3,3,1216,0,1,7
"518",518,152000,0.17,0,124,6000,0,1,2,2,3,2256,0,1.5,8
"519",519,100000,0.51,0,28,15000,0,0,4,2,2,1170,1,1.5,4
"520",520,154000,0.17,0,29,4600,0,0,4,2,3,1456,0,2,6
"521",521,133000,0.11,0,29,3900,0,0,3,4,3,1320,0,3,5
"522",522,285000,0.14,0,14,20700,0,1,2,2,2,2076,1,2.5,10
"523",523,138000,1,0,22,16800,0,0,3,4,2,1326,0,2,5
"524",524,303000,0.18,0,20,20900,0,0,3,4,2,2240,1,2.5,10
"525",525,250000,1.29,0,19,21600,0,1,2,2,2,2100,1,3,7
"526",526,167500,1,0,27,8300,0,0,4,2,2,1129,0,1,7
"527",527,190000,0.6,0,19,16000,0,1,2,2,2,2296,1,2.5,7
"528",528,182500,0.46,0,20,13800,0,0,2,2,2,1475,1,2,8
"529",529,107000,1.03,0,20,20100,0,0,2,2,2,1268,1,1,6
"530",530,195000,0.47,0,15,14100,0,0,2,2,2,1816,1,2,7
"531",531,169000,0.5,0,30,15000,0,0,2,3,2,1632,1,2.5,8
"532",532,156000,0.26,0,11,8700,0,0,2,2,3,1254,0,1.5,5
"533",533,120000,0.49,0,30,64400,0,0,2,2,3,1272,0,1,4
"534",534,170000,0.28,0,29,80800,0,1,2,2,3,1604,0,1.5,6
"535",535,249835,0.52,0,0,77000,0,1,2,2,3,2474,1,2.5,11
"536",536,188095,0.15,0,0,36000,0,1,2,2,3,2057,1,2.5,9
"537",537,176450,0.05,0,6,32000,0,1,3,4,3,1852,0,2.5,8
"538",538,322277,0.09,0,1,51400,0,1,2,2,3,2242,0,3,8
"539",539,149000,0.49,0,32,64400,0,0,2,2,3,1564,1,1.5,9
"540",540,95000,0.19,0,24,39200,0,0,3,4,2,960,0,1,6
"541",541,198500,0.1,0,63,85000,0,1,2,2,3,1680,0,2.5,7
"542",542,185000,0.03,0,3,27000,0,1,2,2,3,1428,1,2.5,6
"543",543,168900,0.16,0,0,36800,0,1,2,2,3,1672,0,2.5,7
"544",544,220000,0.28,0,29,80800,0,1,2,2,3,2284,1,1.5,6
"545",545,129900,0.32,0,31,54200,0,1,2,2,3,1286,1,1,4
"546",546,167000,0.23,0,53,73000,0,0,2,3,3,1250,0,1,4
"547",547,330000,0.12,0,113,51300,0,0,4,3,3,1896,0,1.5,8
"548",548,336000,0.15,0,1,61000,0,1,2,2,3,2592,0,3,10
"549",549,512971,0.01,0,0,12500,0,1,2,2,3,1904,1,2,8
"550",550,229000,0.29,0,3,46400,0,1,2,2,3,1680,0,2,6
"551",551,145000,0.16,0,38,54900,0,0,2,2,3,1152,1,1,7
"552",552,103000,0.07,0,16,46600,0,1,3,4,3,1290,1,1.5,5
"553",553,210000,0.17,0,93,55800,0,0,2,2,3,2396,1,1.5,11
"554",554,559000,0.24,0,55,255000,0,1,2,3,3,3090,2,4,12
"555",555,218000,0.21,0,142,107000,0,0,4,3,3,1428,0,1,8
"556",556,262138,0.15,0,0,114000,0,1,2,2,3,1631,1,2.5,4
"557",557,125000,0.24,0,33,49100,0,0,2,2,3,1368,0,1,7
"558",558,130000,0.16,0,36,54900,0,0,2,2,3,1134,0,1,4
"559",559,157500,0.3,0,27,84600,0,1,2,2,3,1697,1,1.5,6
"560",560,193000,0.3,0,6,47000,0,1,2,2,3,1666,1,2.5,4
"561",561,275000,0.12,0,78,89000,0,1,4,3,3,1738,1,2.5,6
"562",562,240000,0.15,0,103,210000,0,0,2,3,3,1457,0,1.5,7
"563",563,200136,0.15,0,0,54000,0,1,2,2,3,1632,1,2.5,7
"564",564,395000,1.4,0,12,128500,0,1,2,2,1,2186,0,2.5,6
"565",565,366703,0.15,0,0,95000,0,1,3,2,3,2117,1,2.5,6
"566",566,103150,0.25,0,32,50000,0,0,2,2,3,936,1,1,8
"567",567,310000,0.17,0,169,220000,0,0,2,3,3,3347,2,2.5,12
"568",568,142900,0.36,0,32,50600,0,1,2,2,3,1824,1,2.5,10
"569",569,359770,0.16,0,1,62600,0,1,2,2,3,2592,0,3,8
"570",570,126000,0.68,0,64,84200,0,0,4,2,2,1080,0,1,7
"571",571,760000,1.22,0,2,194700,0,1,2,2,2,3148,0,3.5,12
"572",572,282500,0.25,0,150,115000,0,0,2,3,3,2128,1,1.5,8
"573",573,132000,0.06,0,18,28800,0,0,2,2,3,1616,0,1.5,8
"574",574,325000,0.23,0,5,73800,0,1,2,2,3,3313,1,2.5,12
"575",575,207000,0.48,0,25,57800,0,0,2,3,3,2327,1,1.5,10
"576",576,155000,0.24,0,32,49100,0,1,2,2,3,1640,1,1.5,7
"577",577,330000,0.12,0,73,89000,0,0,2,3,3,1421,0,1.5,5
"578",578,101760,0.15,0,103,54000,0,0,2,3,3,1280,1,1,3
"579",579,496000,0.34,0,3,82400,0,1,2,2,3,3467,1,2.5,11
"580",580,185000,0.11,0,83,87000,0,0,2,3,3,1250,0,1.5,5
"581",581,125000,0.25,0,33,50000,0,0,2,2,3,1368,0,1,5
"582",582,286000,0.13,0,1,110200,0,0,2,2,3,1396,0,2.5,8
"583",583,269000,0.04,0,15,36000,0,1,2,2,3,2004,1,2.5,8
"584",584,303374,0.12,0,1,56200,0,1,2,2,3,2242,0,3,6
"585",585,371165,0.39,0,0,85400,0,0,2,2,3,2786,1,2.5,8
"586",586,287600,0.07,0,0,48200,0,1,2,2,3,2242,0,2.5,6
