Store_ID,Store_Name,Ownership_Type,Street_Address,City,State,Country,Postcode,Phone_Number,Timezone,Longitude,Latitude,Revenue,Profits,Gross_Profit_Margin,Number_of_Employees,Customers,Best_Selling_Item
23149-228271,Banjara Hills,Joint Venture,"Lower Ground Floor, GVK One, Road Number 1, Banjara Hills",Hyderabad,AP,IN,500034,,GMT+05:30 Asia/New_Delhi,78.45,17.42,2.117,0.172,0.748,34,3980,Egg & Cheese Mu_n
23191-228548,Kukatpally,Joint Venture,"Upper Ground Floor, Forum Sujana Mall, Kukatpally",Hyderabad,AP,IN,500072,,GMT+05:30 Asia/New_Delhi,78.39,17.48,1.059,0.055,0.442,25,1156,Sausage McMu_m
23193-228546,Madhapur,Joint Venture,"Lower Ground Floor, Inorbit Mall, Madhapur",Hyderabad,AP,IN,500081,,GMT+05:30 Asia/New_Delhi,78.39,17.43,4.505,0.664,0.934,54,10347,Sausage & Egg McMu_m
23180-228545,Jubilee Hills,Joint Venture,"Ground Floor, Road No. 92, Near Apollo hospital, Jubilee Hills",Hyderabad,AP,IN,500033,,GMT+05:30 Asia/New_Delhi,78.42,17.42,3.406,0.398,0.935,45,7415,Veg McMu_m
24457-238129,Hi-Tech City,Joint Venture,"Upper Ground Floor, Phoenix tower A, Opposite Trident Hotel, Madhapur Village",Hyderabad,AP,IN,500084,,GMT+05:30 Asia/New_Delhi,78.38,17.45,7.333,1.657,0.252,78,17887,Veg Supreme Mu_n
23664-232349,Mindspace,Joint Venture,"Mindspace, Hitech City",Hyderabad,AP,IN,500081,,GMT+05:30 Asia/New_Delhi,78.38,17.45,3.120,0.340,0.911,43,6652,Hot Cakes with Maple Syrup
20874-208485,Punjabi Bagh,Joint Venture,"1/83, Ground Floor , Club Road, West Punjabi Bagh",Delhi,DL,IN,110026,,GMT+05:30 Asia/New_Delhi,77.13,28.67,5.195,0.865,0.857,60,12187,Hash Brown
29491-254065,T3 Domestic Arrivals,Joint Venture,IGI Airport,Delhi,DL,IN,110037,,GMT+05:30 Asia/New_Delhi,77.12,28.57,7.732,1.832,0.078,81,18951,McEgg Burger
22446-221249,HUDA Metro Station,Joint Venture,"Ground Floor, South Wing, HUDA Metro Station",Gurgaon,DL,IN,122009,,GMT+05:30 Asia/New_Delhi,77.07,28.46,2.114,0.171,0.747,34,3971,Chicken Maharaja Mac
23392-229965,R K Puram,Joint Venture,"Sangam Courtyard, Major Somnath Marg, Sector 9, R.K Puram",New Delhi,DL,IN,110021,,GMT+05:30 Asia/New_Delhi,77.17,28.57,4.654,0.705,0.922,55,10744,McChicken
25522-241268,Indira Gandhi International Airport,Joint Venture,"Domestic Departure, Terminal 1D",New Delhi,DL,IN,110037,,GMT+05:30 Asia/New_Delhi,77.12,28.56,6.478,1.310,0.561,71,15609,Filet-0-Fish
23666-232345,Subhash Nagar,Joint Venture,"Ground Floor, Pacific Mall, Subhash Nagar",New Delhi,DL,IN,110018,,GMT+05:30 Asia/New_Delhi,77.11,28.64,5.647,1.011,0.776,64,13391,Chicken McGrill
18971-197487,Vasant Kunj - Ambience Mall,Joint Venture,"1st Floor, Ambience Mall, Nelson Mandela Marg",New Delhi,DL,IN,110070,,GMT+05:30 Asia/New_Delhi,77.16,28.54,7.804,1.865,0.044,82,19143,McVeggie
19363-201204,Saket,Joint Venture,"Ground Floor, Select City Walk Mall",New Delhi,DL,IN,110017,,GMT+05:30 Asia/New_Delhi,77.22,28.53,2.094,0.168,0.742,34,3917,McAloo Tikki
19063-198205,Connaught Place - A Block,Joint Venture,"Hamilton House, A Block, Inner Circle",New Delhi,DL,IN,110001,,GMT+05:30 Asia/New_Delhi,77.22,28.63,4.741,0.730,0.914,56,10977,McSpicy Paneer Burger
22570-222670,Connaught Place - N Block,Joint Venture,"N 16, N Block, Outer Circle, Connaught Place",New Delhi,DL,IN,110001,,GMT+05:30 Asia/New_Delhi,77.22,28.63,2.831,0.286,0.876,40,5884,BigSpicy Paneer Wrap
24736-238828,Vasant Kunj - DLF Promenade,Joint Venture,"First Floor, DLF Promenade, Vasant Kunj",New Delhi,DL,IN,110070,,GMT+05:30 Asia/New_Delhi,77.16,28.54,7.048,1.536,0.365,75,17128,McSpicy Chicken Burger
21764-215225,Pitampura,Joint Venture,"Ground Floor, HB Twin Towers, Netaji Subhash Pl, Pitampura",New Delhi,DL,IN,110034,,GMT+05:30 Asia/New_Delhi,77.15,28.69,1.305,0.076,0.526,28,1814,BigSpicy Chicken Wrap
20176-203905,Greater Kailash 1,Joint Venture,"M Block Market, Greater Kailash 1",New Delhi,DL,IN,110048,,GMT+05:30 Asia/New_Delhi,77.24,28.55,4.207,0.585,0.948,52,9551,Regular Fries
19513-197406,Indira Gandhi Itnl Arpt-T3Gate15,Joint Venture,"International Departure, Near Gate 15, Terminal  3",New Delhi,DL,IN,110037,,GMT+05:30 Asia/New_Delhi,77.1,28.56,5.798,1.063,0.743,65,13795,Medium Fries
19514-197404,Indira Gandhi Itnl Arpt-T3Gate27,Joint Venture,"Domestic Departure, Near Gate 27, Terminal  3",New Delhi,DL,IN,110037,,GMT+05:30 Asia/New_Delhi,77.1,28.56,9.686,2.821,-1.060,97,24163,Large Fries
27717-248629,Hauz Khas,Joint Venture,"Ground Floor, Power House, Hauz Khas Village, Hauz Khas",New Delhi,DL,IN,110016,,GMT+05:30 Asia/New_Delhi,77.19,28.55,1.897,0.142,0.695,32,3391,Veg Pizza McPu_
22572-222668,Greater Kailash 2,Joint Venture,"Ground Floor, M-11, M-Block, Main Mrkt, Greater Kailash Pt2",New Delhi,DL,IN,110048,,GMT+05:30 Asia/New_Delhi,77.24,28.53,9.561,2.751,-0.972,96,23828,4 piece Chicken Nuggets
25654-241824,M G Road,Joint Venture,"Upper Ground Floor, MGF Metropolis, M G Road",Gurgaon,HR,IN,122002,,GMT+05:30 Asia/New_Delhi,77.08,28.48,5.430,0.940,0.818,62,12812,6 piece Chicken Nuggets
21333-211367,Sector 29,Joint Venture,"SCO 39, Ground Floor, Sector 29",Gurgaon,HR,IN,122001,,GMT+05:30 Asia/New_Delhi,77.06,28.47,5.496,0.961,0.806,62,12990,9 piece Chicken Nuggets
29490-254064,One Horizon Center,Joint Venture,Golf Course Road,Gurgaon,HR,IN,122003,,GMT+05:30 Asia/New_Delhi,77.09,28.48,4.001,0.534,0.952,50,9002,Chicken Wings 2 Piece*
21652-213925,DLF Cyber Hub,Joint Venture,"Ground Floor, DLF Cyber Hub, Phase II",Gurgaon,HR,IN,122002,,GMT+05:30 Asia/New_Delhi,77.09,28.5,5.690,1.026,0.767,64,13506,Chicken Wings 4 Piece*
18973-197486,Ambience Island,Joint Venture,"Ground Floor, Ambience Mall, Ambience Island, NH 8",Gurgaon,HR,IN,110011,,GMT+05:30 Asia/New_Delhi,77.1,28.5,6.568,1.344,0.533,71,15849,Ketchup
24737-238830,Sohna Road -,Joint Venture,"Grd Flr, Block C, Vatika Business Park, Sector 49, Sohna Road",Gurgaon,HR,IN,122001,,GMT+05:30 Asia/New_Delhi,77.05,28.41,6.940,1.492,0.406,74,16839,Barbecue Sauce
21816-215552,Malleswaram - Orion Mall,Joint Venture,"Grd Flr Orion Mall, Brigade Gateway, Dr Rajkumar Road, Malleswaram",Bangalore,KA,IN,560055,,GMT+05:30 Asia/New_Delhi,77.56,13.01,1.777,0.127,0.664,31,3071,Mustard Sauce
23293-229025,JP Nagar,Joint Venture,"100 feet ring road, K.A.S Officer, KAS Off HBCS layout,4th Phase,JP Nagar",Bangalore,KA,IN,560078,,GMT+05:30 Asia/New_Delhi,77.59,12.91,1.001,0.050,0.422,25,1003,Cheese Slice
21965-216488,Mahadevapura,Joint Venture,"Upper Ground Floor, Phoenix Market City,, Whitefield Road, Mahadevapura",Bangalore,KA,IN,560048,,GMT+05:30 Asia/New_Delhi,77.7,13,6.851,1.456,0.437,74,16603,Chilli Sauce
21606-213485,Koramangala,Joint Venture,"Ground Floor, 7th block, Near Forum Mall, Koramangla Industrial Layout",Bangalore,KA,IN,560095,,GMT+05:30 Asia/New_Delhi,77.61,12.94,2.035,0.160,0.729,34,3761,Regular Strawberry Milkshake
22449-221247,Indiranagar,Joint Venture,"Grd Flr, Samrat Bldg, HAL II Stage, 100 ft Rd, Indiranagar",Bangalore,KA,IN,560038,,GMT+05:30 Asia/New_Delhi,77.64,12.97,2.868,0.292,0.881,41,5981,Medium Strawberry Milkshake
23150-228269,Malleswaram - Mantri Mall,Joint Venture,"Upper grd flr,Mantri Mall,Mantri Sq No1, Sampangiram Nagar, Malleswaram",Bangalore,KA,IN,560003,,GMT+05:30 Asia/New_Delhi,77.57,12.99,7.953,1.934,-0.028,83,19541,Large Strawberry Milkshake
23148-228268,Sadashiv Nagar,Joint Venture,"403, Ground Floor, 8th Main Road, Sadashiv Nagar",Bangalore,KA,IN,560080,,GMT+05:30 Asia/New_Delhi,77.58,13.01,2.236,0.189,0.773,35,4297,Regular Chocolate Milkshake
24432-237928,Whitefield,Joint Venture,"Ground floor, Prestige Shantiniketan, Crescent 4, Whitefield Main Road",Bangalore,KA,IN,560048,,GMT+05:30 Asia/New_Delhi,77.73,12.99,6.413,1.285,0.581,70,15436,Medium Chocolate Milkshake
22445-221246,Benniganahalli,Joint Venture,"Ground Floor, RMZ Infinity, The Bay, #3 Old Madras Road, Benniganahalli",Bangalore,KA,IN,560016,,GMT+05:30 Asia/New_Delhi,77.66,12.99,8.379,2.136,-0.247,86,20677,Large Chocolate Milkshake
21743-215051,Church Street,Joint Venture,"Ground Floor, Prestige RR Building, 55 and 51/1 Church Street",Bangalore,MH,IN,560001,,GMT+05:30 Asia/New_Delhi,77.61,12.97,9.754,2.860,-1.108,98,24344,Regular Coca-Cola
22456-221251,Prabhadevi,Joint Venture,"Upper Ground Floor, Century Bhavan, Century Bazaar, Prabhadevi",Mumbai,MH,IN,400030,,GMT+05:30 Asia/New_Delhi,72.82,19.01,7.028,1.528,0.373,75,17076,Medium Coca-Cola
19524-202205,Malad West - Infiniti Mall,Joint Venture,"Upper Ground Floor, Infiniti Mall, Link Road,  Malad (West)",Mumbai,MH,IN,400064,,GMT+05:30 Asia/New_Delhi,72.83,19.18,8.857,2.376,-0.520,90,21951,Large Coca-Cola
21450-211905,Santacruz West,Joint Venture,"Grd Flr Red Chillies Entertainment Bldg, Jct of 15th Rd and Ram Krishna MissionRd",Mumbai,MH,IN,400054,,GMT+05:30 Asia/New_Delhi,72.83,19.08,6.366,1.267,0.595,70,15310,Regular Fanta Orange
22539-222210,Nariman Point,Joint Venture,"Ground Floor, Shree Nirmal Building, Behind Trident Hotel, Nariman Point",Mumbai,MH,IN,400021,,GMT+05:30 Asia/New_Delhi,72.82,18.93,3.513,0.421,0.941,46,7702,Medium Fanta Orange
24458-238127,Andheri West - Four Bunglows,Joint Venture,"Kokilaben Dhirubhai Ambani Hospital, Four Bunglows, Andheri (West)",Mumbai,MH,IN,400053,,GMT+05:30 Asia/New_Delhi,72.82,19.13,6.564,1.343,0.534,71,15839,Large Fanta Orange
20778-207865,Bandra West - Chapel road,Joint Venture,"Reclamation, Chapel Road, Near Lilavati Hospital",Mumbai,MH,IN,400050,,GMT+05:30 Asia/New_Delhi,72.83,19.05,1.871,0.139,0.689,32,3323,Regular Thums-up
22452-221250,Andheri West - Infiniti Mall,Joint Venture,"Ground Floor, Infiniti Mall, New Link Road, Andheri (West)",Mumbai,MH,IN,400053,,GMT+05:30 Asia/New_Delhi,72.83,19.14,7.258,1.624,0.283,77,17687,Medium Thums-up
19034-197924,Ghatkopar West,Joint Venture,"Gound Floor, R City Mall, Lal Bahadur Shastri Marg",Mumbai,MH,IN,400086,,GMT+05:30 Asia/New_Delhi,72.92,19.1,7.611,1.778,0.133,80,18630,Large Thums - up
21329-210768,Thane West - Viviana Mall,Joint Venture,"Ground Floor, Viviana Mall, Thane West, Opp Eastern Express Highway",Mumbai,MH,IN,400606,,GMT+05:30 Asia/New_Delhi,72.97,19.21,8.214,2.057,-0.160,85,20238,Regular Sprite
18409-190784,Elphinstone Road (West),Joint Venture,"First Floor, Tower 2 Lobby, Indiabulls Finance Centre",Mumbai,MH,IN,400013,,GMT+05:30 Asia/New_Delhi,72.84,19.01,5.313,0.902,0.839,61,12502,Medium Sprite
23292-229027,Chhatrapati Shivaji Intnl-T2Arrival,Joint Venture,"International Arrivals, Andheri (East)",Mumbai,MH,IN,400099,,GMT+05:30 Asia/New_Delhi,72.87,19.1,1.097,0.058,0.456,26,1259,Large Sprite
26082-243524,Bandra East - One BKC,Joint Venture,"A wing, Ground Floor, One BKC, G Block,BandraBurlaComplex,BandraEast",Mumbai,MH,IN,400051,,GMT+05:30 Asia/New_Delhi,72.85,19.06,6.586,1.351,0.527,72,15897,Diet Coke
20457-205766,Thane West - Korum Mall,Joint Venture,"Upper Ground Level, Korum Mall, Off Eastern Express highway",Mumbai,MH,IN,400601,,GMT+05:30 Asia/New_Delhi,72.97,19.2,9.850,2.914,-1.176,99,24599,Kinley Water
24734-238829,Vikhroli East,Joint Venture,"Ground Floor, Godrej One Building, Pirojshanagar, Vikhroli (East)",Mumbai,MH,IN,400079,,GMT+05:30 Asia/New_Delhi,72.92,19.09,4.600,0.690,0.927,55,10600,Minute Maid Nimbu Fresh
21967-216487,Lower Parel - High Street Phoenix,Joint Venture,"First floor, High Street Phoenix Mall, Senapati Bapat Marg, Lower Parcel",Mumbai,MH,IN,400013,,GMT+05:30 Asia/New_Delhi,72.82,19,9.028,2.464,-0.624,92,22407,Minute Maid Pulpy Orange
24199-236567,Bandra West - Link corner,Joint Venture,"Off Linking Road, Corner of 24th & 33rd Rd, Bandra West",Mumbai,MH,IN,400050,,GMT+05:30 Asia/New_Delhi,72.83,19.07,9.313,2.616,-0.806,94,23167,Cold Co_ee
25658-242046,Vile Parle West,Joint Venture,"Grd Flr, Tian Star, 48 Gulmohar Road, Juhu Scheme, Vile Parle (West)",Mumbai,MH,IN,400049,,GMT+05:30 Asia/New_Delhi,72.83,19.11,6.441,1.296,0.573,70,15510,Ice Tea
23290-229028,Chhatrapati Shivaji International A,Joint Venture,"T2 Departure SHA, Level P9, Food Court, Andheri (East)",Mumbai,MH,IN,400099,,GMT+05:30 Asia/New_Delhi,72.88,19.1,8.548,2.219,-0.340,88,21127,McFloat Coke
19530-197407,Bandra East - FIFC,Joint Venture,"First International Financial Centre, Bandra Kurla Complex Road, Bandra (East)",Mumbai,MH,IN,400051,,GMT+05:30 Asia/New_Delhi,72.87,19.07,9.918,2.953,-1.225,99,24781,McFloat Fanta
18224-189164,Colaba,Joint Venture,"Hotel Taj Mahal Palace, Apollo Bunder, Apollo Bunder, Opp. Gateway of India",Mumbai,MH,IN,400005,,GMT+05:30 Asia/New_Delhi,72.83,18.92,4.745,0.731,0.914,56,10985,McFloat Sprite
24456-238128,Kurla West,Joint Venture,"First Floor, Phoenix Market City, Lal Bahadur Shastri Marg, Kurla (West)",Mumbai,MH,IN,400070,,GMT+05:30 Asia/New_Delhi,72.89,19.09,6.942,1.493,0.405,75,16844,McFloat Cold Co_ee
26081-243527,Malad West - Inorbit Mall,Joint Venture,"Ground Floor, Inorbit Mall, Link Road,  Malad (West)",Mumbai,MH,IN,400064,,GMT+05:30 Asia/New_Delhi,72.84,19.17,4.350,0.622,0.943,53,9932,SoG Serve cone
21709-214285,Bandra East - The Capital,Joint Venture,"Ground Floor, The Capital, Bandra Kurla Complex, Bandra (East)",Mumbai,MH,IN,400051,,GMT+05:30 Asia/New_Delhi,72.86,19.06,4.536,0.672,0.931,54,10429,McSwirl ChocoDip
18649-193713,Powai,Joint Venture,"Prudential Bldg Hiranandani Bus Park, Gr Fl, Central Avenue Road",Mumbai,MH,IN,400076,,GMT+05:30 Asia/New_Delhi,72.91,19.12,9.021,2.461,-0.620,92,22390,McSwirl Butterscotch ChocoDip
17857-186566,Goregaon East - Oberoi Mall,Joint Venture,"Off Western Express Highway, Goregaon (East)",Mumbai,MH,IN,400063,,GMT+05:30 Asia/New_Delhi,72.86,19.17,2.101,0.169,0.744,34,3937,Regular SoG Serve - Hot Fudge
19618-200365,Chhatrapati Shivaji DomesticAirport,Joint Venture,"Domestic Arrivals, Terminal 1B, Santa Cruz (East)",Mumbai,MH,IN,400099,,GMT+05:30 Asia/New_Delhi,72.86,19.09,5.746,1.045,0.755,65,13655,Medium soG Serve - Hot Fudge
21105-209366,Juhu,Joint Venture,"Ground Floor, Hotel Bawa Continental, Juhu Tara Road",Mumbai,MH,IN,400049,,GMT+05:30 Asia/New_Delhi,72.83,19.1,7.180,1.592,0.314,77,17481,Regular SoG Serve - Strawberry
21818-215805,Kandivali West,Joint Venture,"Ground Floor, V Souk, Sector 10, Mahavir Nagar, Kandivali (West)",Mumbai,MH,IN,400067,,GMT+05:30 Asia/New_Delhi,72.84,19.21,6.201,1.206,0.642,68,14870,Medium SoG Serve - Strawberry
22047-217305,Vashi,Joint Venture,"Ground Floor, Inorbit Mall, Sector 30A, Vashi",Navi Mumbai,MH,IN,400705,,GMT+05:30 Asia/New_Delhi,73,19.07,8.389,2.141,-0.253,87,20705,Walnut Brownie with Hot Fudge -Regular
20477-206185,Viman Nagar,Joint Venture,"Ground floor, Phoenix Market City, Viman Nagar",Pune,MH,IN,411014,,GMT+05:30 Asia/New_Delhi,73.92,18.56,7.899,1.909,-0.001,82,19398,Walnut Brownie with Hot Fudge - Medium
25677-236568,Sangam Solitaire,Joint Venture,"Sangam Press Road, Kothrud",Pune,MH,IN,411029,,GMT+05:30 Asia/New_Delhi,73.82,18.5,2.167,0.179,0.759,35,4112,McFlurry-Oreo Small
21819-215804,Aundh,Joint Venture,"Ground floor, Centriole, Anand Park, ITI Road, Aundh",Pune,MH,IN,411008,,GMT+05:30 Asia/New_Delhi,73.81,18.56,3.417,0.400,0.935,45,7446,McFlurry - Oreo Regular
21828-215807,Magarpatta,Joint Venture,"First Floor, Seasons Mall, Magarpatta City, Hadapsar",Pune,MH,IN,411028,,GMT+05:30 Asia/New_Delhi,73.93,18.52,2.655,0.255,0.850,39,5413,McFlurry ChocoCrunch Small
20455-205764,Koregaon Park,Joint Venture,"1 Galaxy Gardens, North Main Road",Pune,MH,IN,411001,,GMT+05:30 Asia/New_Delhi,73.89,18.54,9.017,2.459,-0.618,92,22379,McFlurry ChocoCrunch Regular
22444-221266,Kharadi,Joint Venture,"Ground Floor, EON Free Zone, Cluster A, MIDC, Kharadi Knowledge Park",Pune,MH,IN,411014,,GMT+05:30 Asia/New_Delhi,73.95,18.55,6.094,1.167,0.671,67,14583,Black Tea
21335-210964,Hadapsar,Joint Venture,"Ground Floor, West Block, Amanora Town Centre, Hadapsar",Pune,MH,IN,411028,,GMT+05:30 Asia/New_Delhi,73.94,18.52,2.724,0.267,0.861,39,5597,Tea with Milk
23144-228270,FC Road,Joint Venture,"Mosaic Ground Floor West, Across Fergusson College Gate 2, FC Rd",Pune,MH,IN,411004,,GMT+05:30 Asia/New_Delhi,73.84,18.52,7.709,1.822,0.088,81,18891,Black co_ee
26083-243525,Numgambakkam,Joint Venture,"Ground Floor, Bergamo Mall, Khadar Nawas Khan Road",Chennai,TN,IN,600006,,GMT+05:30 Asia/New_Delhi,80.25,13.06,2.249,0.191,0.776,35,4332,Co_ee with Milk
25647-242045,Royapettah,Joint Venture,"Ground Floor, Express Avenue Mall, Whites Road, Royapettah",Chennai,TN,IN,600014,,GMT+05:30 Asia/New_Delhi,80.26,13.06,3.265,0.369,0.924,44,7041,Masala Veg
25269-240401,Anna Nagar,Joint Venture,"TBR tower, Y block, 2nd Avenue, Near Ayyappa Temple, Anna Nagar",Chennai,TN,IN,600040,,GMT+05:30 Asia/New_Delhi,80.21,13.09,2.425,0.217,0.811,37,4801,Masala Non Veg
23145-228267,Velachery,Joint Venture,"Upper Ground Floor, Phoenix marketcity, Velachery Main Road",Chennai,TN,IN,600042,,GMT+05:30 Asia/New_Delhi,80.22,12.99,8.461,2.177,-0.292,87,20896,Saucy Aloo Wrap
27719-248626,Alwarpet,Joint Venture,"Ground Floor, MGN Splendor, Off Chamiers Road, Alwarpet",Chennai,TN,IN,600018,,GMT+05:30 Asia/New_Delhi,80.25,13.03,7.895,1.907,0.000,82,19387,Saucy Chicken Wrap
25065-239844,Sector 16,Joint Venture,"Ground Floor, Gardens Galleria, Sector 16",Noida,UP,IN,201301,,GMT+05:30 Asia/New_Delhi,77.33,28.57,3.213,0.358,0.920,43,6901,Saucy Egg Wrap
10429-100710,Palmdale & Hwy 395,Company Owned,14136 US Hwy 395,Adelanto,CA,US,923016700,760-530-9252,GMT-08:00 America/Los_Angeles,-117.4,34.51,19.345,1.056,7.957,62,1442,Egg McMuffin
635-352,Kanan & Thousand Oaks,Company Owned,5827 Kanan Road,Agoura,CA,US,913011651,(818) 735-0268,GMT-08:00 America/Los_Angeles,-118.76,34.16,15.228,1.937,3.830,51,8415,Egg White Delight
74510-27669,Vons-Agoura Hills #2001,Licensed,5671 Kanan Rd.,Agoura Hills,CA,US,913013358,818-991-2857,GMT-08:00 America/Los_Angeles,-118.76,34.15,28.631,4.168,6.047,89,10174,Sausage McMuffin
29839-255026,Target Anaheim T-0677,Licensed,8148 E SANTA ANA CANYON ROAD,AHAHEIM,CA,US,92808,714-921-9091,GMT-08:00 America/Los_Angeles,-117.75,33.87,24.355,4.389,3.287,77,13501,Sausage McMuffin with Egg
23463-230284,Safeway - Alameda 3281,Licensed,2600 5th Street,Alameda,CA,US,94501,510-523-1804,GMT-08:00 America/Los_Angeles,-122.28,37.79,39.627,11.401,-4.023,120,23819,Sausage McMuffin with Egg Whites
6479-62999,Park & Central Alameda,Company Owned,1364 Park Street,Alameda,CA,US,945014542,510-521-5815,GMT-08:00 America/Los_Angeles,-122.24,37.76,23.243,6.157,-1.193,74,21629,Steak & Egg McMuffin
5535-728,Webster & Atlantic - Alameda,Company Owned,720 Atlantic Avenue,Alameda,CA,US,945012176,510-337-1580,GMT-08:00 America/Los_Angeles,-122.28,37.78,31.315,8.065,-1.102,97,20925,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)"
74877-100291,Safeway - Alameda #2708,Licensed,2227 South Shore Center,Alameda,CA,US,945018029,510-863-9000,GMT-08:00 America/Los_Angeles,-122.25,37.76,41.178,6.695,7.154,125,11809,"Bacon, Egg & Cheese Biscuit (Large Biscuit)"
11161-103516,Tilden & Blanding,Company Owned,"2671 Blanding Avene, D",Alameda,CA,US,945011587,510-337-1091,GMT-08:00 America/Los_Angeles,-122.23,37.77,19.332,3.990,1.496,62,16012,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)"
19859-196187,Target Alameda T-2829,Licensed,2700 Fifth St,Alameda,CA,US,94501,510-241-0931,GMT-08:00 America/Los_Angeles,-122.28,37.78,29.211,5.813,2.735,91,15304,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)"
79518-102650,Vons - San Diego #2040,Licensed,5555 Balboa Ave,San Diego,CA,US,921112703,858-279-4661,GMT-08:00 America/Los_Angeles,-117.18,32.82,36.304,9.871,-2.424,111,22303,Sausage Biscuit (Regular Biscuit)
75229-94473,San Diego Conv Ctr - Lobby C,Licensed,111 West Harbor Drive,San Diego,CA,US,921017822,619-525-5821,GMT-08:00 America/Los_Angeles,-117.16,32.71,33.071,8.523,-1.175,102,20940,Sausage Biscuit (Large Biscuit)
73584-23068,Albertsons-San Dimas #6594,Licensed,SEC San Dimas & Bonita,San Dimas,CA,US,91773,909-599-8836,GMT-08:00 America/Los_Angeles,-117.8,34.11,41.459,10.005,0.021,126,19368,Sausage Biscuit with Egg (Regular Biscuit)
5317-861,San Dimas,Company Owned,942 W. Arrow Highway,San Dimas,CA,US,917732419,(909) 599-7338,GMT-08:00 America/Los_Angeles,-117.83,34.11,19.254,3.441,2.662,62,13356,Sausage Biscuit with Egg (Large Biscuit)
76658-99293,Target San Dimas T-767,Licensed,"888 W Arrow Hwy, San Dimas",San Dimas,CA,US,917732495,9093940335,GMT-08:00 America/Los_Angeles,-117.82,34.1,27.410,5.288,2.933,85,14721,Sausage Biscuit with Egg Whites (Regular Biscuit)
9253-96095,"Bonita & San Dimas, San Dimas",Company Owned,"114 E. Bonita Avenue, Mission Plaza",San Dimas,CA,US,917733003,909-592-2791,GMT-08:00 America/Los_Angeles,-117.81,34.11,29.549,2.155,10.963,92,3200,Sausage Biscuit with Egg Whites (Large Biscuit)
